problem,n_obj,algorithm,seed,igd,hv,n_evals,pop_size
zdt1,2,NSGA2,12,0.017637463639293458,1.073496466377435,10000,100
zdt1,2,NSGA2,123,0.01721551762878988,1.074773994417073,10000,100
zdt1,2,NSGA2,456,0.017059777636474156,1.07486599988581,10000,100
zdt1,2,MOEAD,12,0.014805779605841505,1.0761020861329142,10000,100
zdt1,2,MOEAD,123,0.015701744370653168,1.0723698563274406,10000,100
zdt1,2,MOEAD,456,0.01992478702986913,1.0644509270588771,10000,100
zdt3,2,NSGA2,12,0.014899684206951811,1.5902984014517194,10000,100
zdt3,2,NSGA2,123,0.013621469153501995,1.5949956574216597,10000,100
zdt3,2,NSGA2,456,0.01242267723472969,1.5991281971449065,10000,100
zdt3,2,MOEAD,12,0.04923231233493869,1.5444737161327957,10000,100
zdt3,2,MOEAD,123,0.09292246038454134,1.4290690594578743,10000,100
zdt3,2,MOEAD,456,0.06857253294144858,1.5013761571002204,10000,100
dtlz2,3,NSGA2,12,0.07718337516236007,7.327300796083224,10000,100
dtlz2,3,NSGA2,123,0.07437338379680955,7.369641465832829,10000,100
dtlz2,3,NSGA2,456,0.07395070030721138,7.349084013049,10000,100
dtlz2,3,MOEAD,12,0.04934929137417321,7.402184932141379,10000,100
dtlz2,3,MOEAD,123,0.050389907422477044,7.408638998325204,10000,100
dtlz2,3,MOEAD,456,0.04961971644484747,7.410974218509143,10000,100
